firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Hannes,Alfvén,SE,SE,male,1970,physics,2,Royal Institute of Technology,Stockholm,Sweden,May,87,62
Louis,Néel,FR,FR,male,1970,physics,2,University of Grenoble,Grenoble,France,Nov,96,66
Luis,Leloir,FR,AR,male,1970,chemistry,1,Institute for Biochemical Research,Buenos Aires,Argentina,Sep,81,64
Sir Bernard,Katz,DE,GB,male,1970,medicine,3,University College,London,United Kingdom,Mar,92,59
Ulf,von Euler,SE,SE,male,1970,medicine,3,Karolinska Institutet,Stockholm,Sweden,Feb,78,65
Julius,Axelrod,US,US,male,1970,medicine,3,National Institutes of Health,Bethesda MD,USA,May,92,58
Norman,Borlaug,US,US,male,1970,peace,1,,,,Mar,95,56
Alexandr,Solzhenitsyn,RU,RU,male,1970,literature,1,,,,Dec,90,52
Paul A.,Samuelson,US,US,male,1970,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,May,94,55
Dennis,Gabor,HU,GB,male,1971,physics,1,Imperial College,London,United Kingdom,Jun,79,71
Gerhard,Herzberg,DE,CA,male,1971,chemistry,1,National Research Council of Canada,Ottawa,Canada,Dec,95,67
Earl W.,Sutherland Jr.,US,US,male,1971,medicine,1,Vanderbilt University,Nashville TN,USA,Nov,59,56
Willy,Brandt,DE,DE,male,1971,peace,1,,,,Dec,79,58
Pablo,Neruda,CL,CL,male,1971,literature,1,,,,Jul,69,67
Simon,Kuznets,BY,US,male,1971,economics,1,Harvard University,Cambridge MA,USA,Apr,84,70
John,Bardeen,US,US,male,1972,physics,3,University of Illinois,Urbana IL,USA,May,83,64
Leon N.,Cooper,US,,male,1972,physics,3,Brown University,Providence RI,USA,Feb,90,42
Robert,Schrieffer,US,US,male,1972,physics,3,University of Pennsylvania,Philadelphia PA,USA,May,88,41
Christian,Anfinsen,US,US,male,1972,chemistry,2,National Institutes of Health,Bethesda MD,USA,Mar,79,56
Stanford,Moore,US,US,male,1972,chemistry,4,Rockefeller University,New York NY,USA,Sep,69,59
William H.,Stein,US,US,male,1972,chemistry,4,Rockefeller University,New York NY,USA,Jun,69,61
Gerald M.,Edelman,US,US,male,1972,medicine,2,Rockefeller University,New York NY,USA,Jul,85,43
Rodney R.,Porter,GB,GB,male,1972,medicine,2,University of Oxford,Oxford,United Kingdom,Oct,68,55
Heinrich,Böll,DE,DE,male,1972,literature,1,,,,Dec,68,55
John R.,Hicks,GB,GB,male,1972,economics,2,All Souls College,Oxford,United Kingdom,Apr,85,68
Kenneth J.,Arrow,US,US,male,1972,economics,2,Harvard University,Cambridge MA,USA,Aug,96,51
Leo,Esaki,JP,,male,1973,physics,4,IBM Thomas J. Watson Research Center,Yorktown Heights NY,USA,Mar,95,48
Ivar,Giaever,NO,,male,1973,physics,4,General Electric Company,Schenectady NY,USA,Apr,91,44
Brian D.,Josephson,GB,,male,1973,physics,2,University of Cambridge,Cambridge,United Kingdom,Jan,80,33
Ernst Otto,Fischer,DE,DE,male,1973,chemistry,2,Technical University,Munich,Germany,Nov,89,55
Geoffrey,Wilkinson,GB,GB,male,1973,chemistry,2,Imperial College,London,United Kingdom,Jul,75,52
Karl,von Frisch,AT,DE,male,1973,medicine,3,Zoologisches Institut der Universität München,Munich,Germany,Nov,96,87
Konrad,Lorenz,AT,AT,male,1973,medicine,3,Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften Forschungsstelle für Ethologie,Altenberg; Grünau im Almtal,Austria,Nov,86,70
Nikolaas,Tinbergen,NL,GB,male,1973,medicine,3,University of Oxford,Oxford,United Kingdom,Apr,81,66
Henry,Kissinger,DE,,male,1973,peace,2,,,,May,97,50
Le Duc Tho,,VN,VN,male,1973,peace,2,,,,Oct,79,62
Patrick,White,GB,AU,male,1973,literature,1,,,,May,78,61
Wassily,Leontief,RU,US,male,1973,economics,1,Harvard University,Cambridge MA,USA,Aug,93,67
Martin,Ryle,GB,GB,male,1974,physics,2,University of Cambridge,Cambridge,United Kingdom,Sep,66,56
Antony,Hewish,GB,,male,1974,physics,2,University of Cambridge,Cambridge,United Kingdom,May,96,50
Paul J.,Flory,US,US,male,1974,chemistry,1,Stanford University,Stanford CA,USA,Jun,75,64
Albert,Claude,BE,BE,male,1974,medicine,3,Université Catholique de Louvain,Louvain,Belgium,Aug,85,76
Christian,de Duve,GB,BE,male,1974,medicine,3,Rockefeller University,New York NY,USA,Oct,96,57
George E.,Palade,RO,US,male,1974,medicine,3,Yale University School of Medicine,New Haven CT,USA,Nov,96,62
Seán,MacBride,FR,IE,male,1974,peace,2,,,,Jan,84,70
Eisaku,Sato,JP,JP,male,1974,peace,2,,,,Mar,74,73
Eyvind,Johnson,SE,SE,male,1974,literature,2,,,,Jul,76,74
Harry,Martinson,SE,SE,male,1974,literature,2,,,,May,74,70
Gunnar,Myrdal,SE,SE,male,1974,economics,2,,,,Dec,89,76
Friedrich,von Hayek,AT,DE,male,1974,economics,2,,,,May,93,75
Aage N.,Bohr,DK,DK,male,1975,physics,3,Niels Bohr Institute,Copenhagen,Denmark,Jun,87,53
Ben R.,Mottelson,US,,male,1975,physics,3,Nordita,Copenhagen,Denmark,Jul,94,49
James,Rainwater,US,US,male,1975,physics,3,Columbia University,New York NY,USA,Dec,69,58
John,Cornforth,AU,,male,1975,chemistry,2,University of Sussex,Brighton,United Kingdom,Sep,96,58
Vladimir,Prelog,BA,CH,male,1975,chemistry,2,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Jul,92,69
David,Baltimore,US,,male,1975,medicine,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Mar,82,37
Renato,Dulbecco,IT,US,male,1975,medicine,3,Imperial Cancer Research Fund Laboratory,London,United Kingdom,Feb,98,61
Howard M.,Temin,US,US,male,1975,medicine,3,University of Wisconsin,Madison WI,USA,Dec,60,41
Andrei,Sakharov,RU,RU,male,1975,peace,1,,,,May,68,54
Eugenio,Montale,IT,IT,male,1975,literature,1,,,,Oct,85,79
Leonid Vitaliyevich,Kantorovich,RU,RU,male,1975,economics,2,Academy of Sciences,Moscow,USSR (now Russia),Jan,74,63
Tjalling C.,Koopmans,NL,US,male,1975,economics,2,Yale University,New Haven CT,USA,Aug,75,65
Burton,Richter,US,US,male,1976,physics,2,Stanford Linear Accelerator Center,Stanford CA,USA,Mar,87,45
Samuel C.C.,Ting,US,,male,1976,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jan,84,40
William,Lipscomb,US,US,male,1976,chemistry,1,Harvard University,Cambridge MA,USA,Dec,92,57
Baruch S.,Blumberg,US,US,male,1976,medicine,2,The Institute for Cancer Research,Philadelphia PA,USA,Jul,86,51
D. Carleton,Gajdusek,US,NO,male,1976,medicine,2,National Institutes of Health,Bethesda MD,USA,Sep,85,53
Betty,Williams,GB,GB,female,1976,peace,2,,,,May,77,33
Mairead,Corrigan,GB,,female,1976,peace,2,,,,Jan,76,32
Saul,Bellow,CA,US,male,1976,literature,1,,,,Jun,90,61
Milton,Friedman,US,US,male,1976,economics,1,University of Chicago,Chicago IL,USA,Jul,94,64
Philip W.,Anderson,US,US,male,1977,physics,3,Bell Telephone Laboratories,Murray Hill NJ,USA,Dec,97,54
Sir Nevill F.,Mott,GB,GB,male,1977,physics,3,University of Cambridge,Cambridge,United Kingdom,Sep,91,72
John H.,van Vleck,US,US,male,1977,physics,3,Harvard University,Cambridge MA,USA,Mar,81,78
Ilya,Prigogine,RU,BE,male,1977,chemistry,1,Université Libre de Bruxelles,Brussels,Belgium,Jan,86,60
Roger,Guillemin,FR,,male,1977,medicine,4,The Salk Institute,San Diego CA,USA,Jan,96,53
Andrew V.,Schally,LT,,male,1977,medicine,4,Veterans Administration Hospital,New Orleans LA,USA,Nov,94,51
Rosalyn,Yalow,US,US,female,1977,medicine,2,Veterans Administration Hospital,Bronx NY,USA,Jul,90,56
Vicente,Aleixandre,ES,ES,male,1977,literature,1,,,,Apr,86,79
Bertil,Ohlin,SE,SE,male,1977,economics,2,Stockholm School of Economics,Stockholm,Sweden,Apr,80,78
James E.,Meade,GB,GB,male,1977,economics,2,University of Cambridge,Cambridge,United Kingdom,Jun,88,70
Pyotr,Kapitsa,RU,RU,male,1978,physics,2,Academy of Sciences,Moscow,USSR (now Russia),Jul,90,84
Arno,Penzias,DE,,male,1978,physics,4,Bell Laboratories,Holmdel NJ,USA,Apr,87,45
Robert Woodrow,Wilson,US,,male,1978,physics,4,Bell Laboratories,Holmdel NJ,USA,Jan,84,42
Peter,Mitchell,GB,GB,male,1978,chemistry,1,Glynn Research Laboratories,Bodmin,United Kingdom,Sep,72,58
Werner,Arber,CH,,male,1978,medicine,3,Biozentrum der Universität,Basel,Switzerland,Jun,91,49
Daniel,Nathans,US,US,male,1978,medicine,3,Johns Hopkins University School of Medicine,Baltimore MD,USA,Oct,71,50
Hamilton O.,Smith,US,,male,1978,medicine,3,Johns Hopkins University School of Medicine,Baltimore MD,USA,Aug,89,47
Anwar,al-Sadat,EG,EG,male,1978,peace,2,,,,Dec,63,60
Menachem,Begin,BY,IL,male,1978,peace,2,,,,Aug,79,65
Isaac Bashevis,Singer,PL,US,male,1978,literature,1,,,,Jul,87,74
Herbert,Simon,US,US,male,1978,economics,1,Carnegie Mellon University,Pittsburgh PA,USA,Jun,85,62
Sheldon,Glashow,US,,male,1979,physics,3,Harvard University Lyman Laboratory,Cambridge MA,USA,Dec,88,47
Abdus,Salam,PK,GB,male,1979,physics,3,International Centre for Theoretical Physics,Trieste,Italy,Jan,70,53
Steven,Weinberg,US,,male,1979,physics,3,Harvard University,Cambridge MA,USA,May,87,46
Herbert C.,Brown,GB,US,male,1979,chemistry,2,Purdue University,West Lafayette IN,USA,May,92,67
Georg,Wittig,DE,DE,male,1979,chemistry,2,University of Heidelberg,Heidelberg,Germany,Jun,90,82
Allan M.,Cormack,ZA,US,male,1979,medicine,2,Tufts University,Medford MA,USA,Feb,74,55
Godfrey N.,Hounsfield,GB,GB,male,1979,medicine,2,Central Research Laboratories EMI,London,United Kingdom,Aug,85,60
Anjezë Gonxhe,Bojaxhiu,MK,IN,female,1979,peace,1,,,,Aug,87,69
Odysseus,Elytis,GR,GR,male,1979,literature,1,,,,Nov,85,68
Theodore W.,Schultz,US,US,male,1979,economics,2,University of Chicago,Chicago IL,USA,Apr,96,77
Sir Arthur,Lewis,LC,BB,male,1979,economics,2,Princeton University,Princeton NJ,USA,Jan,76,64
James,Cronin,US,US,male,1980,physics,2,University of Chicago,Chicago IL,USA,Sep,85,49
Val,Fitch,US,US,male,1980,physics,2,Princeton University,Princeton NJ,USA,Mar,92,57
Frederick,Sanger,GB,GB,male,1980,chemistry,4,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Aug,95,62
Paul,Berg,US,,male,1980,chemistry,2,Stanford University,Stanford CA,USA,Jun,94,54
Walter,Gilbert,US,,male,1980,chemistry,4,Harvard University Biological Laboratories,Cambridge MA,USA,Mar,88,48
Baruj,Benacerraf,VE,US,male,1980,medicine,3,Harvard Medical School,Boston MA,USA,Oct,91,60
Jean,Dausset,FR,ES,male,1980,medicine,3,Université de Paris Laboratoire Immuno-Hématologie,Paris,France,Oct,93,64
George D.,Snell,US,US,male,1980,medicine,3,Jackson Laboratory,Bar Harbor ME,USA,Dec,93,77
Adolfo,Pérez Esquivel,AR,,male,1980,peace,1,,,,Nov,89,49
Czeslaw,Milosz,LT,PL,male,1980,literature,1,,,,Jun,93,69
Lawrence R.,Klein,US,US,male,1980,economics,1,University of Pennsylvania,Philadelphia PA,USA,Sep,93,60
Nicolaas,Bloembergen,NL,US,male,1981,physics,4,Harvard University,Cambridge MA,USA,Mar,97,61
Arthur L.,Schawlow,US,US,male,1981,physics,4,Stanford University,Stanford CA,USA,May,78,60
Kai M.,Siegbahn,SE,SE,male,1981,physics,2,Uppsala University,Uppsala,Sweden,Apr,89,63
Kenichi,Fukui,JP,JP,male,1981,chemistry,2,Kyoto University,Kyoto,Japan,Oct,80,63
Roald,Hoffmann,UA,,male,1981,chemistry,2,Cornell University,Ithaca NY,USA,Jul,83,44
Roger W.,Sperry,US,US,male,1981,medicine,2,California Institute of Technology (Caltech),Pasadena CA,USA,Aug,81,68
David H.,Hubel,CA,US,male,1981,medicine,4,Harvard Medical School,Boston MA,USA,Feb,87,55
Torsten N.,Wiesel,SE,,male,1981,medicine,4,Harvard Medical School,Boston MA,USA,Jun,96,57
Elias,Canetti,BG,CH,male,1981,literature,1,,,,Jul,89,76
James,Tobin,US,US,male,1981,economics,1,Yale University,New Haven CT,USA,Mar,84,63
Kenneth G.,Wilson,US,US,male,1982,physics,1,Cornell University,Ithaca NY,USA,Jun,77,46
Aaron,Klug,LT,,male,1982,chemistry,1,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Aug,92,56
Sune K.,Bergström,SE,SE,male,1982,medicine,3,Karolinska Institutet,Stockholm,Sweden,Jan,88,66
Bengt I.,Samuelsson,SE,,male,1982,medicine,3,Karolinska Institutet,Stockholm,Sweden,May,86,48
John R.,Vane,GB,GB,male,1982,medicine,3,The Wellcome Research Laboratories,Beckenham,United Kingdom,Mar,77,55
Alva,Myrdal,SE,SE,female,1982,peace,2,,,,Jan,84,80
Alfonso,García Robles,MX,MX,male,1982,peace,2,,,,Mar,80,71
Gabriel,García Márquez,CO,MX,male,1982,literature,1,,,,Mar,87,55
George J.,Stigler,US,US,male,1982,economics,1,University of Chicago,Chicago IL,USA,Jan,80,71
Subramanyan,Chandrasekhar,PK,US,male,1983,physics,2,University of Chicago,Chicago IL,USA,Oct,85,73
William A.,Fowler,US,US,male,1983,physics,2,California Institute of Technology (Caltech),Pasadena CA,USA,Aug,84,72
Henry,Taube,CA,US,male,1983,chemistry,1,Stanford University,Stanford CA,USA,Nov,90,68
Barbara,McClintock,US,US,female,1983,medicine,1,Cold Spring Harbor Laboratory,Cold Spring Harbor NY,USA,Jun,90,81
Lech,Walesa,PL,,male,1983,peace,1,,,,Sep,77,40
William,Golding,GB,GB,male,1983,literature,1,,,,Sep,82,72
Gerard,Debreu,FR,FR,male,1983,economics,1,University of California,Berkeley CA,USA,Jul,83,62
Carlo,Rubbia,IT,,male,1984,physics,2,CERN,Geneva,Switzerland,Mar,86,50
Simon,van der Meer,NL,CH,male,1984,physics,2,CERN,Geneva,Switzerland,Nov,86,59
Bruce,Merrifield,US,US,male,1984,chemistry,1,Rockefeller University,New York NY,USA,Jul,85,63
Niels K.,Jerne,GB,FR,male,1984,medicine,3,Basel Institute for Immunology,Basel,Switzerland,Dec,83,73
Georges J.F.,Köhler,DE,DE,male,1984,medicine,3,Basel Institute for Immunology,Basel,Switzerland,Apr,49,38
César,Milstein,AR,GB,male,1984,medicine,3,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Oct,75,57
Desmond,Tutu,ZA,,male,1984,peace,1,,,,Oct,89,53
Jaroslav,Seifert,CZ,CZ,male,1984,literature,1,,,,Sep,85,83
Richard,Stone,GB,GB,male,1984,economics,1,University of Cambridge,Cambridge,United Kingdom,Aug,78,71
Klaus,von Klitzing,PL,,male,1985,physics,1,Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,Jun,77,42
Herbert A.,Hauptman,US,US,male,1985,chemistry,2,The Medical Foundation of Buffalo,Buffalo NY,USA,Feb,94,68
Jerome,Karle,US,,male,1985,chemistry,2,US Naval Research Laboratory,Washington DC,USA,Jun,95,67
Michael S.,Brown,US,,male,1985,medicine,2,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Apr,79,44
Joseph L.,Goldstein,US,,male,1985,medicine,2,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Apr,80,45
Claude,Simon,MG,FR,male,1985,literature,1,,,,Oct,92,72
Franco,Modigliani,IT,US,male,1985,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jun,85,67
Ernst,Ruska,DE,DE,male,1986,physics,2,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,Dec,82,80
Gerd,Binnig,DE,,male,1986,physics,4,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Jul,73,39
Heinrich,Rohrer,CH,CH,male,1986,physics,4,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Jun,80,53
Dudley R.,Herschbach,US,,male,1986,chemistry,3,Harvard University,Cambridge MA,USA,Jun,88,54
Yuan T.,Lee,TW,,male,1986,chemistry,3,University of California,Berkeley CA,USA,Nov,84,50
John C.,Polanyi,DE,,male,1986,chemistry,3,University of Toronto,Toronto,Canada,Jan,91,57
Stanley,Cohen,US,US,male,1986,medicine,2,Vanderbilt University School of Medicine,Nashville TN,USA,Nov,98,64
Rita,Levi-Montalcini,IT,IT,female,1986,medicine,2,Institute of Cell Biology of the C.N.R.,Rome,Italy,Apr,103,77
Elie,Wiesel,RO,US,male,1986,peace,1,,,,Sep,88,58
Wole,Soyinka,NG,,male,1986,literature,1,,,,Jul,86,52
James M.,Buchanan Jr.,US,US,male,1986,economics,1,Center for Study of Public Choice,Fairfax VA,USA,Oct,94,67
J. Georg,Bednorz,DE,,male,1987,physics,2,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,May,70,37
K. Alex,Müller,CH,,male,1987,physics,2,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Apr,93,60
Donald J.,Cram,US,US,male,1987,chemistry,3,University of California,Los Angeles CA,USA,Apr,82,68
Jean-Marie,Lehn,FR,,male,1987,chemistry,3,Université Louis Pasteur,Strasbourg,France,Sep,81,48
Charles J.,Pedersen,KR,US,male,1987,chemistry,3,Du Pont,Wilmington DE,USA,Oct,85,83
Susumu,Tonegawa,JP,,male,1987,medicine,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Sep,81,48
Oscar,Arias Sánchez,CR,,male,1987,peace,1,,,,Sep,80,47
Joseph,Brodsky,RU,US,male,1987,literature,1,,,,May,56,47
Robert M.,Solow,US,,male,1987,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Aug,96,63
Leon M.,Lederman,US,US,male,1988,physics,3,Fermi National Accelerator Laboratory,Batavia IL,USA,Jul,96,66
