firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Avram,Hershko,HU,,male,2004,chemistry,3,Technion - Israel Institute of Technology,Haifa,Israel,Dec,83,67
Irwin,Rose,US,US,male,2004,chemistry,3,University of California,Irvine CA,USA,Jul,89,78
Elfriede,Jelinek,AT,,female,2004,literature,1,,,,Oct,74,58
Wangari,Maathai,KE,KE,female,2004,peace,1,,,,Apr,71,64
Finn E.,Kydland,NO,,male,2004,economics,2,Carnegie Mellon University,Pittsburgh PA,USA,Dec,77,61
Edward C.,Prescott,US,,male,2004,economics,2,Arizona State University,Tempe AZ,USA,Dec,80,64
Barry J.,Marshall,AU,,male,2005,medicine,2,NHMRC Helicobacter pylori Research Laboratory QEII Medical Centre,Nedlands,Australia,Sep,69,54
J. Robin,Warren,AU,,male,2005,medicine,2,,,,Jun,83,68
Roy J.,Glauber,US,US,male,2005,physics,2,Harvard University,Cambridge MA,USA,Sep,93,80
John L.,Hall,US,,male,2005,physics,4,University of Colorado JILA,Boulder CO,USA,Aug,86,71
Theodor W.,Hänsch,DE,,male,2005,physics,4,Max-Planck-Institut für Quantenoptik,Garching,Germany,Oct,79,64
Yves,Chauvin,BE,FR,male,2005,chemistry,3,Institut Français du Pétrole,Rueil-Malmaison,France,Oct,85,75
Robert H.,Grubbs,US,,male,2005,chemistry,3,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,78,63
Richard R.,Schrock,US,,male,2005,chemistry,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jan,75,60
Mohamed,ElBaradei,EG,,male,2005,peace,2,,,,Jun,78,63
Robert J.,Aumann,DE,,male,2005,economics,2,University of Jerusalem Center for RationalityHebrew,Jerusalem,Israel,Jun,90,75
Thomas C.,Schelling,US,US,male,2005,economics,2,University of Maryland Department of Economics and School of Public Policy,College Park MD,USA,Apr,95,84
Harold,Pinter,GB,GB,male,2005,literature,1,,,,Oct,78,75
Andrew Z.,Fire,US,,male,2006,medicine,2,Stanford University School of Medicine,Stanford CA,USA,Apr,61,47
Craig C.,Mello,US,,male,2006,medicine,2,University of Massachusetts Medical School,Worcester MA,USA,Oct,60,46
John C.,Mather,US,,male,2006,physics,2,NASA Goddard Space Flight Center,Greenbelt MD,USA,Aug,74,60
George F.,Smoot,US,,male,2006,physics,2,University of California,Berkeley CA,USA,Feb,75,61
Roger D.,Kornberg,US,,male,2006,chemistry,1,Stanford University,Stanford CA,USA,Apr,73,59
Edmund S.,Phelps,US,,male,2006,economics,1,Columbia University,New York NY,USA,Jul,87,73
Orhan,Pamuk,TR,,male,2006,literature,1,,,,Jun,68,54
Muhammad,Yunus,BD,,male,2006,peace,2,,,,Jun,80,66
Mario R.,Capecchi,IT,,male,2007,medicine,3,University of Utah,Salt Lake City UT,USA,Oct,83,70
Sir Martin J.,Evans,GB,,male,2007,medicine,3,Cardiff University,Cardiff,United Kingdom,Jan,79,66
Oliver,Smithies,GB,US,male,2007,medicine,3,University of North Carolina,Chapel Hill NC,USA,Jun,92,82
Albert,Fert,FR,,male,2007,physics,2,Universit&eacute; Paris-Sud,Orsay,France,Mar,82,69
Peter,Grünberg,CZ,DE,male,2007,physics,2,Forschungszentrum J&uuml;lich,Jülich,Germany,May,79,68
Gerhard,Ertl,DE,,male,2007,chemistry,1,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,Oct,84,71
Doris,Lessing,IR,GB,female,2007,literature,1,,,,Oct,94,88
Al,Gore,US,,male,2007,peace,2,,,,Mar,72,59
Leonid,Hurwicz,RU,US,male,2007,economics,3,University of Minnesota,Minneapolis MN,USA,Aug,91,90
Eric S.,Maskin,US,,male,2007,economics,3,Institute for Advanced Study,Princeton NJ,USA,Dec,70,57
Roger B.,Myerson,US,,male,2007,economics,3,University of Chicago,Chicago IL,USA,Mar,69,56
Harald,zur Hausen,DE,,male,2008,medicine,2,German Cancer Research Center,Heidelberg,Germany,Mar,84,72
Françoise,Barré-Sinoussi,FR,,female,2008,medicine,4,Regulation of Retroviral Infections Unit Virology Department Institut Pasteur,Paris,France,Jul,73,61
Luc,Montagnier,FR,,male,2008,medicine,4,World Foundation for AIDS Research and Prevention,Paris,France,Aug,88,76
Yoichiro,Nambu,JP,JP,male,2008,physics,2,Enrico Fermi Institute University of Chicago,Chicago IL,USA,Jan,94,87
Makoto,Kobayashi,JP,,male,2008,physics,4,High Energy Accelerator Research Organization (KEK),Tsukuba,Japan,Apr,76,64
Toshihide,Maskawa,JP,,male,2008,physics,4,Kyoto Sangyo University,Kyoto,Japan,Feb,80,68
Osamu,Shimomura,JP,JP,male,2008,chemistry,3,Marine Biological Laboratory (MBL),Woods Hole MA,USA,Aug,90,80
Martin,Chalfie,US,,male,2008,chemistry,3,Columbia University,New York NY,USA,Jan,73,61
Roger Y.,Tsien,US,US,male,2008,chemistry,3,University of California,San Diego CA,USA,Feb,64,56
Jean-Marie Gustave,Le Clézio,FR,,male,2008,literature,1,,,,Apr,80,68
Martti,Ahtisaari,FI,,male,2008,peace,1,,,,Jun,83,71
Paul,Krugman,US,,male,2008,economics,1,Princeton University,Princeton NJ,USA,Feb,67,55
Elizabeth H.,Blackburn,AU,,female,2009,medicine,3,University of California,San Francisco CA,USA,Nov,72,61
Carol W.,Greider,US,,female,2009,medicine,3,Johns Hopkins University School of Medicine,Baltimore MD,USA,Apr,59,48
Jack W.,Szostak,GB,,male,2009,medicine,3,Harvard Medical School,Boston MA,USA,Nov,68,57
Charles K.,Kao,CN,,male,2009,physics,2,Standard Telecommunication Laboratories,Harlow,United Kingdom,Nov,85,76
Willard S.,Boyle,CA,CA,male,2009,physics,4,Bell Laboratories,Murray Hill NJ,USA,Aug,87,85
George E.,Smith,US,,male,2009,physics,4,Bell Laboratories,Murray Hill NJ,USA,May,90,79
Venkatraman,Ramakrishnan,IN,,male,2009,chemistry,3,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Apr,68,57
Thomas A.,Steitz,US,US,male,2009,chemistry,3,Yale University,New Haven CT,USA,Aug,78,69
Ada E.,Yonath,IL,,female,2009,chemistry,3,Weizmann Institute of Science,Rehovot,Israel,Jun,81,70
Herta,Müller,RO,,female,2009,literature,1,,,,Aug,67,56
Barack,Obama,US,,male,2009,peace,1,,,,Aug,59,48
Elinor,Ostrom,US,US,female,2009,economics,2,Indiana University,Bloomington IN,USA,Aug,79,76
Oliver E.,Williamson,US,,male,2009,economics,2,University of California,Berkeley CA,USA,Sep,88,77
Robert G.,Edwards,GB,GB,male,2010,medicine,1,University of Cambridge,Cambridge,United Kingdom,Sep,88,85
Andre,Geim,RU,,male,2010,physics,2,University of Manchester,Manchester,United Kingdom,Oct,62,52
Konstantin,Novoselov,RU,,male,2010,physics,2,University of Manchester,Manchester,United Kingdom,Aug,46,36
Richard F.,Heck,US,PH,male,2010,chemistry,3,University of Delaware,,USA,Aug,84,79
Ei-ichi,Negishi,CN,,male,2010,chemistry,3,Purdue University,West Lafayette IN,USA,Jul,85,75
Akira,Suzuki,JP,,male,2010,chemistry,3,Hokkaido University,Sapporo,Japan,Sep,90,80
Mario,Vargas Llosa,PE,,male,2010,literature,1,,,,Mar,84,74
Xiaobo,Liu,CN,CN,male,2010,peace,1,,,,Dec,62,55
Peter A.,Diamond,US,,male,2010,economics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Apr,80,70
Dale T.,Mortensen,US,US,male,2010,economics,3,Northwestern University,Evanston IL,USA,Feb,75,71
Christopher A.,Pissarides,CY,,male,2010,economics,3,London School of Economics and Political Science,London,United Kingdom,Feb,72,62
Bruce A.,Beutler,US,,male,2011,medicine,4,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Dec,63,54
Jules A.,Hoffmann,LU,,male,2011,medicine,4,University of Strasbourg,Strasbourg,France,Aug,79,70
Ralph M.,Steinman,CA,,male,2011,medicine,2,Rockefeller University,New York NY,USA,Jan,68,68
Saul,Perlmutter,US,,male,2011,physics,2,Lawrence Berkeley National Laboratory,Berkeley CA,USA,Sep,61,52
Brian P.,Schmidt,US,,male,2011,physics,4,Australian National University,Weston Creek,Australia,Feb,53,44
Adam G.,Riess,US,,male,2011,physics,4,Johns Hopkins University,Baltimore MD,USA,Dec,51,42
Dan,Shechtman,IL,,male,2011,chemistry,1,Technion - Israel Institute of Technology,Haifa,Israel,Jan,79,70
Tomas,Tranströmer,SE,SE,male,2011,literature,1,,,,Apr,84,80
Ellen,Johnson Sirleaf,LR,,female,2011,peace,3,,,,Oct,82,73
Leymah,Gbowee,LR,,female,2011,peace,3,,,,Feb,48,39
Tawakkol,Karman,YE,,female,2011,peace,3,,,,Feb,41,32
Thomas J.,Sargent,US,,male,2011,economics,2,New York University,New York NY,USA,Jul,77,68
Christopher A.,Sims,US,,male,2011,economics,2,Princeton University,Princeton NJ,USA,Oct,78,69
Sir John B.,Gurdon,GB,,male,2012,medicine,2,Gurdon Institute,Cambridge,United Kingdom,Oct,87,79
Shinya,Yamanaka,JP,,male,2012,medicine,2,Kyoto University,Kyoto,Japan,Sep,58,50
Serge,Haroche,MA,,male,2012,physics,2,Collège de France,Paris,France,Sep,76,68
David J.,Wineland,US,,male,2012,physics,2,National Institute of Standards and Technology,Boulder CO,USA,Feb,76,68
Robert J.,Lefkowitz,US,,male,2012,chemistry,2,Howard Hughes Medical Institute,,,Apr,77,69
Brian,Kobilka,US,,male,2012,chemistry,2,Stanford University School of Medicine,Stanford CA,USA,May,65,57
Mo,Yan,CN,,male,2012,literature,1,,,,Feb,65,57
Alvin E.,Roth,US,,male,2012,economics,2,Harvard University,Cambridge MA,USA,Dec,69,61
Lloyd S.,Shapley,US,US,male,2012,economics,2,University of California,Los Angeles CA,USA,Jun,93,89
James E.,Rothman,US,,male,2013,medicine,3,Yale University,New Haven CT,USA,Nov,70,63
Randy W.,Schekman,US,,male,2013,medicine,3,University of California,Berkeley CA,USA,Dec,72,65
Thomas C.,Südhof,DE,,male,2013,medicine,3,Stanford University,Stanford CA,USA,Dec,65,58
François,Englert,BE,,male,2013,physics,2,Université Libre de Bruxelles,Brussels,Belgium,Nov,88,81
Peter,Higgs,GB,,male,2013,physics,2,University of Edinburgh,Edinburgh,United Kingdom,May,91,84
Martin,Karplus,AT,,male,2013,chemistry,3,Université de Strasbourg,Strasbourg,France,Mar,90,83
Michael,Levitt,ZA,,male,2013,chemistry,3,Stanford University School of Medicine,Stanford CA,USA,May,73,66
Arieh,Warshel,IL,,male,2013,chemistry,3,University of Southern California,Los Angeles CA,USA,Nov,80,73
Alice,Munro,CA,,female,2013,literature,1,,,,Jul,89,82
Eugene F.,Fama,US,,male,2013,economics,3,University of Chicago,Chicago IL,USA,Feb,81,74
Lars Peter,Hansen,US,,male,2013,economics,3,University of Chicago,Chicago IL,USA,Oct,68,61
Robert J.,Shiller,US,,male,2013,economics,3,Yale University,New Haven CT,USA,Mar,74,67
John,O'Keefe,US,,male,2014,medicine,2,University College,London,United Kingdom,Nov,81,75
May-Britt,Moser,NO,,female,2014,medicine,4,Norwegian University of Science and Technology (NTNU),Trondheim,Norway,Jan,57,51
Edvard I.,Moser,NO,,male,2014,medicine,4,Norwegian University of Science and Technology (NTNU),Trondheim,Norway,Apr,58,52
Isamu,Akasaki,JP,,male,2014,physics,3,Meijo University,Nagoya,Japan,Jan,91,85
Hiroshi,Amano,JP,,male,2014,physics,3,Nagoya University,Nagoya,Japan,Sep,60,54
Shuji,Nakamura,JP,,male,2014,physics,3,University of California,Santa Barbara CA,USA,May,66,60
Eric,Betzig,US,,male,2014,chemistry,3,Janelia Research Campus Howard Hughes Medical Institute,Ashburn VA,USA,Jan,60,54
Stefan W.,Hell,RO,,male,2014,chemistry,3,Max Planck Institute for Biophysical Chemistry,Göttingen,Germany,Dec,58,52
William E.,Moerner,US,,male,2014,chemistry,3,Stanford University,Stanford CA,USA,Jun,67,61
Patrick,Modiano,FR,,male,2014,literature,1,,,,Jul,75,69
Kailash,Satyarthi,IN,,male,2014,peace,2,,,,Jan,66,60
Malala,Yousafzai,PK,,female,2014,peace,2,,,,Jul,23,17
Jean,Tirole,FR,,male,2014,economics,1,Toulouse School of Economics (TSE),Toulouse,France,Aug,67,61
William C.,Campbell,IE,,male,2015,medicine,4,Drew University,Madison NJ,USA,Jun,90,85
Satoshi,&#332;mura,JP,,male,2015,medicine,4,Kitasato University,Tokyo,Japan,Jul,85,80
Youyou,Tu,CN,,female,2015,medicine,2,China Academy of Traditional Chinese Medicine,Beijing,China,Dec,90,85
Takaaki,Kajita,JP,,male,2015,physics,2,University of Tokyo,Kashiwa,Japan,Mar,61,56
Arthur B.,McDonald,CA,,male,2015,physics,2,Queen's University,Kingston,Canada,Aug,77,72
Tomas,Lindahl,SE,,male,2015,chemistry,3,Francis Crick Institute,Hertfordshire,United Kingdom,Jan,82,77
Paul,Modrich,US,,male,2015,chemistry,3,Howard Hughes Medical Institute,Durham NC,USA,Jun,74,69
Aziz,Sancar,TR,,male,2015,chemistry,3,University of North Carolina,Chapel Hill NC,USA,Sep,74,69
Svetlana,Alexievich,UA,,female,2015,literature,1,,,,May,72,67
Angus,Deaton,GB,,male,2015,economics,1,Princeton University,Princeton NJ,USA,Oct,75,70
Yoshinori,Ohsumi,JP,,male,2016,medicine,1,Tokyo Institute of Technology,Tokyo,Japan,Feb,75,71
David J.,Thouless,GB,GB,male,2016,physics,2,University of Washington,Seattle WA,USA,Sep,85,82
F. Duncan M.,Haldane,GB,,male,2016,physics,4,Princeton University,Princeton NJ,USA,Sep,69,65
J. Michael,Kosterlitz,GB,,male,2016,physics,4,Brown University,Providence RI,USA,Jun,77,73
Jean-Pierre,Sauvage,FR,,male,2016,chemistry,3,University of Strasbourg,Strasbourg,France,Oct,76,72
Sir J. Fraser,Stoddart,GB,,male,2016,chemistry,3,Northwestern University,Evanston IL,USA,May,78,74
Bernard L.,Feringa,NL,,male,2016,chemistry,3,University of Groningen,Groningen,the Netherlands,May,69,65
Juan Manuel,Santos,CO,,male,2016,peace,1,,,,Aug,69,65
Oliver,Hart,GB,,male,2016,economics,2,Harvard University,Cambridge MA,USA,Oct,72,68
Bengt,Holmström,FI,,male,2016,economics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Apr,71,67
Bob,Dylan,US,,male,2016,literature,1,,,,May,79,75
Jeffrey C.,Hall,US,,male,2017,medicine,3,University of Maine,Maine ME,USA,May,75,72
Michael,Rosbash,US,,male,2017,medicine,3,Brandeis University,Waltham MA,USA,Mar,76,73
Michael W.,Young,US,,male,2017,medicine,3,Rockefeller University,New York NY,USA,Mar,71,68
Rainer,Weiss,DE,,male,2017,physics,2,LIGO/VIRGO Collaboration,,,Sep,88,85
Barry C.,Barish,US,,male,2017,physics,4,LIGO/VIRGO Collaboration,,,Jan,84,81
Kip S.,Thorne,US,,male,2017,physics,4,LIGO/VIRGO Collaboration,,,Jun,80,77
Jacques,Dubochet,CH,,male,2017,chemistry,3,University of Lausanne,Lausanne,Switzerland,Jun,78,75
Joachim,Frank,DE,,male,2017,chemistry,3,Columbia University,New York NY,USA,Sep,80,77
Richard,Henderson,GB,,male,2017,chemistry,3,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Jul,75,72
Kazuo,Ishiguro,JP,,male,2017,literature,1,,,,Nov,66,63
Richard H.,Thaler,US,,male,2017,economics,1,University of Chicago,Chicago IL,USA,Sep,75,72
James P.,Allison,US,,male,2018,medicine,2,Parker Institute for Cancer Immunotherapy,San Francisco CA,USA,Aug,72,70
Tasuku,Honjo,JP,,male,2018,medicine,2,Kyoto University,Kyoto,Japan,Jan,78,76
Arthur,Ashkin,US,,male,2018,physics,2,Bell Laboratories,Holmdel NJ,USA,Sep,98,96
Gérard,Mourou,FR,,male,2018,physics,4,École Polytechnique,Palaiseau,France,Jun,76,74
Donna,Strickland,CA,,female,2018,physics,4,University of Waterloo,Waterloo,Canada,May,61,59
Frances H.,Arnold,US,,female,2018,chemistry,2,California Institute of Technology (Caltech),Pasadena CA,USA,Jul,64,62
George P.,Smith,US,,male,2018,chemistry,4,University of Missouri,Columbia,USA,Mar,79,77
Sir Gregory P.,Winter,GB,,male,2018,chemistry,4,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Apr,69,67
Denis,Mukwege,CD,,male,2018,peace,2,,,,Mar,65,63
Nadia,Murad,IQ,,female,2018,peace,2,,,,Jan,27,25
William D.,Nordhaus,US,,male,2018,economics,2,Yale University,New Haven CT,USA,May,79,77
Paul M.,Romer,US,,male,2018,economics,2,NYU Stern School of Business,New York NY,USA,Nov,65,63
Olga,Tokarczuk,PL,,female,2018,literature,1,,,,Jan,58,56
William,Kaelin,US,,male,2019,medicine,3,Harvard Medical School,Boston MA,USA,Nov,63,62
Peter,Ratcliffe,GB,,male,2019,medicine,3,University of Oxford,Oxford,United Kingdom,May,66,65
Gregg,Semenza,US,,male,2019,medicine,3,Johns Hopkins University,Baltimore MD,USA,Jul,64,63
James,Peebles,CA,,male,2019,physics,2,Princeton University,Princeton NJ,USA,Apr,85,84
Michel,Mayor,CH,,male,2019,physics,4,University of Geneva,Geneva,Switzerland,Jan,78,77
Didier,Queloz,CH,,male,2019,physics,4,University of Geneva,Geneva,Switzerland,Feb,54,53
John,Goodenough,DE,,male,2019,chemistry,3,University of Texas,Austin TX,USA,Jul,98,97
M. Stanley,Whittingham,GB,,male,2019,chemistry,3,Binghamton University State University of New York,New York NY,USA,Dec,79,78
Akira,Yoshino,JP,,male,2019,chemistry,3,Asahi Kasei Corporation,Tokyo,Japan,Jan,72,71
Peter,Handke,AT,,male,2019,literature,1,,,,Dec,78,77
Abiy,Ahmed Ali,ET,,male,2019,peace,1,,,,Aug,44,43
Abhijit,Banerjee,IN,,male,2019,economics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Feb,59,58
Esther,Duflo,FR,,female,2019,economics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Oct,48,47
Michael,Kremer,US,,male,2019,economics,3,Harvard University,Cambridge MA,USA,Nov,56,55